#####################################
#####################################
#######  					  #######	
####### THE KINGDOM OF GONDOR #######
#######						  #######	
#####################################
#####################################
###
## In order: 
## Gondor Proper
# House of Anárionath, Kings of Gondor
# House of Húrinionath, Stewards of Gondor
# House of Imrazôrionath, Princes of Dol Amroth
# House of Eärnur, Sealords of Lebennin
# House of Ausir, High Lords of Lossarnach
# House of Malandil, High Lords of Lamedon
# House of Olindur, High Lords of Anfalas
# House of Halboron, High Lords of Pinnath Gelin
# House of Minadirionath, Lords of Entyn-i-Onodlo
# House of Rodirionath, Lords of Gardhon Fuir
# House of Anwar, counts of the Eyrn Fuir
# House of Yrchdaugnir, Lords of Doranorien
# House of Linnarion, Lords of Celosien
# House of Arphenian, Lords of Lebennivet
# House of Celebhatol, Lords of Arnach
# House of Imlothiath, Lords of Edhelion
# House of Durthoron, Lords of Anghabar
# House of Celebharn, Lords of Methrast
# House of Heledir, Lords of Tolfalas
# House of Axanturionath, Lords of Tarlang
# House of Brandirion, Lords of Morthond Vale
# House of Gwaihirion, Captains of Isengard
# House of Authrom, Lords of Rhandir
# House of Palantirith, Lords of Serelond

### Houses of Ithilien (Trig TBF)
# House of Alagos, first Lords of Harithilien
# House of Astandurionath, latest Lords of Harithilien
# House of Arandal, Dukes of Cormalthen
# House of Drinbar, lords of the Nindalf
# House of Finnarphen, lords of Henneth Annun
# House of Asgaril, lords of Forithilien
# House of Faedur, Lords of the Ephel Duath
# House of Wilwarin, later rulers of Coruvegil
# House of Coruvegil, rulers of Coruvegil
# House of Curedain, stewards of the stewards
# House of Rian, cadet of Othnir, rulers of Rian between 1200 and 1700
# House of Othnir, Lords of Othnir
# House of Elemmir, Barons of Abad Elemmir
# House of Usuluni, Courtiers of the Dukes of Emyn Arnen
# House of Glorel, Lords of Glorel
# House of Telengaur, Lords of the Harithilien highlands
# House of Faron, First rulers of Porosir and Morvegil
# House of Morvegil, Dukes of Harithilien after the Kinstrife
# House of Nepos, second Dukes of Harithilien, lords of boths sides of the Poros
# House of Tiridon, cadet of Telengaur, later lords of the Haithilien highlands. 

### Houses of Harondor
# House of Orontorion, Lords of Methir
# House of Thavor, Lords of Laer
# House of Surionath, Lords of Neporos
# House of Morinehtar, Lords of Annun
# house of Súldilion
# House of Rumilion
# House of Calambar, Lords of Narthan (Chief Vanity)
# House of Elentirmo
# House of Seregonir
# House of Calionath, Lords of Harfalas
# House of Amdirvel, Lords of Eredir
# House of Noruinif, Lords of Hyarmen
# House of Maethorionath, Lords of Foraegardh

## Border Realms
# House of Telemnarion, Governors of Umbar
# House of Vinginturion, Lords of Arlefnui
# House of Ohtarion, Lords of Tharagrondost
# House of Isilmonir, Lords of Nethos
# House of Calionath, Lords of Harfalas
# Dor Rhúnen Regents

## Minor Houses / Counts
# House of Himelin	
# House of Dalfelena		
# House of Alfirin	
# House of Dúlinn	
# House of Galadeiliant		
# House of Hardion	
# House of Duneglan	
# House of Tinnubar	
# House of Atanatarionath	
# House of An Rosuldrië
# House of Malanath
# House of An Tyliand
# House of Rond Randir
# House of Rond Rendûl
# House of An Andhen
# House of Imristion
# House of An Lontir
# House of Nos Elmo
# House of An Annodrûn

## Unlanded Houses
# House of Dor Giril 
# House of Manthorionath
# Telcontar DNA Characters
# House of Gilthol (Sol Vanity)

## Angmar Start Date ##
# House of Arastil, Governors of the province of Enedhwaith, based in Southern Tharbad
# House of Forchon, Counts of Riverwatch, guarding the fords of the Angren
# House of Túlion, Holders of Lond Daer (or what's left of it)
# House of Handarod, Governors of the province of Andrast, based in Úlond
# House of Orthonn, Stewards of Tharagrondost until the Kinstrife

## Filler

##############################
##### The Kings of Gondor ####
##############################
# House of Anárionath

    mother = lineofedalote24

    


	trait = blood_of_numenor_6
    5154.6.3 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5199.7.17 = {
        add_spouse = lineofedalote26
    }

    5332.6.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote26 = {
    name = Nuneth 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_6
    5182.3.21 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5360.6.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote27 = {
    name = Eldarion 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote25
    mother = lineofedalote26

    


	trait = blood_of_numenor_5
    5224.12.6 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5251.9.16 = {
        add_spouse = lineofedalote28
    }

    5404.5.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote28 = {
    name = Nimloth 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5234.11.20 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5412.12.12 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote29 = {
    name = Suldor 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote27
    mother = lineofedalote28

    


	trait = blood_of_numenor_5
    5315.10.16 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5343.10.18 = {
        add_spouse = lineofedalote30
    }

    5490.2.2 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote30 = {
    name = Itarilde 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5326.9.9 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5496.10.26 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote31 = {
    name = Alquandil 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote29
    mother = lineofedalote30

    


	trait = blood_of_numenor_5
    5412.7.10 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5454.1.26 = {
        add_spouse = lineofedalote32
    }

    5580.7.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote32 = {
    name = Maewiel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5437.8.14 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5598.2.15 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote33 = {
    name = Ulrad 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote31
    mother = lineofedalote32

    


	trait = blood_of_numenor_5
    5526.4.19 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5555.2.17 = {
        add_spouse = lineofedalote34
    }

    5686.6.28 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote34 = {
    name = Tindomiel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5538.2.17 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5694.9.16 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote35 = {
    name = Tarmacil 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote33
    mother = lineofedalote34

    


	trait = blood_of_numenor_5
    5626.11.27 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5668.8.15 = {
        add_spouse = lineofedalote36
    }

    5777.2.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote36 = {
    name = Borwen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5651.1.7 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5809.2.15 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote37 = {
    name = Morvegil 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote35
    mother = lineofedalote36

    


	trait = blood_of_numenor_5
    5704.9.28 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5739.5.10 = {
        add_spouse = lineofedalote38
    }

    5853.7.11 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote38 = {
    name = Yavien 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5722.10.28 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5867.1.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote39 = {
    name = Dorlad 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote37
    mother = lineofedalote38

    


	trait = blood_of_numenor_5
    5769.2.3 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5798.6.7 = {
        add_spouse = lineofedalote40
    }

    5917.11.15 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote40 = {
    name = Isilme 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5781.3.11 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5929.2.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote41 = {
    name = Glorfindel 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote39
    mother = lineofedalote40

    


	trait = blood_of_numenor_5
    5818.12.3 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5850.9.25 = {
        add_spouse = lineofedalote42
    }

    5958.8.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote42 = {
    name = Eariel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_5
    5833.9.16 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5969.2.15 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote43 = {
    name = Malbeth 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote41
    mother = lineofedalote42

    


	trait = blood_of_numenor_5
    5905.10.14 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    5939.11.7 = {
        add_spouse = lineofedalote44
    }

    6040.9.25 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote44 = {
    name = Hunleth 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_4
    5922.5.18 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6057.6.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote45 = {
    name = Castarion 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote43
    mother = lineofedalote44

    


	trait = blood_of_numenor_4
    5967.3.18 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6015.8.7 = {
        add_spouse = lineofedalote46
    }

    6098.5.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote46 = {
    name = Irilde 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_4
    5998.11.13 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6125.9.2 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote47 = {
    name = Ornendur 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote45
    mother = lineofedalote46

    


	trait = blood_of_numenor_4
    6074.11.15 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6104.4.10 = {
        add_spouse = lineofedalote48
    }

    6196.5.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote48 = {
    name = Corwen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_4
    6087.11.10 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6215.5.11 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote49 = {
    name = Gorthol 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote47
    mother = lineofedalote48

    


	trait = blood_of_numenor_4
    6133.7.3 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6166.2.19 = {
        add_spouse = lineofedalote50
    }

    6257.12.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote50 = {
    name = Edhetariel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_4
    6149.5.4 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6274.2.3 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote51 = {
    name = Thalion 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote49
    mother = lineofedalote50

    


	trait = blood_of_numenor_4
    6180.12.10 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6219.2.19 = {
        add_spouse = lineofedalote52
    }

    6261.9.25 = {
        death = { death_reason = death_siege }
    }
}

lineofedalote52 = {
    name = Aerin 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_3
    6202.7.24 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6316.2.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote53 = {
    name = Telcontar 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote51
    mother = lineofedalote52

    


	trait = blood_of_numenor_3
    6261.7.26 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6290.4.5 = {
        add_spouse = lineofedalote54
    }

    6372.11.11 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote54 = {
    name = Telperien 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_3
    6273.11.6 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6384.6.1 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote55 = {
    name = Vorondil 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote53
    mother = lineofedalote54

    


	trait = blood_of_numenor_3
    6339.5.17 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6373.2.1 = {
        add_spouse = lineofedalote56
    }

    6446.8.14 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote56 = {
    name = Emeldir 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_3
    6356.4.26 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6462.12.28 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote57 = {
    name = Duinhir 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote55
    mother = lineofedalote56

    


	trait = blood_of_numenor_3
    6417.7.21 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6460.12.2 = {
        add_spouse = lineofedalote58
    }

    6533.1.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote58 = {
    name = Sarawen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_3
    6443.6.16 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6551.11.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote59 = {
    name = Arachon 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote57
    mother = lineofedalote58

    


	trait = blood_of_numenor_3
    6495.12.25 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6544.4.10 = {
        add_spouse = lineofedalote60
    }

    6595.7.4 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote60 = {
    name = Irime 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_3
    6527.3.2 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6646.6.23 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote61 = {
    name = Herucar 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote59
    mother = lineofedalote60

    


	trait = blood_of_numenor_3
    6592.11.10 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6632.4.6 = {
        add_spouse = lineofedalote62
    }

    6708.6.16 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote62 = {
    name = Tindome 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_2
    6615.10.2 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6716.11.27 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote63 = {
    name = Anaratan 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote61
    mother = lineofedalote62
  
	trait = twin

	trait = blood_of_numenor_2
    6686.2.24 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6722.3.21 = {
        add_spouse = lineofedalote64
    }

    6805.9.17 = {
        death = { death_reason = death_consumption }
    }
}

lineofedalote63sister = {
	name = Borwen
	female = yes

	dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote61
    mother = lineofedalote62

	trait = twin

	trait = brave
	trait = compassionate
	trait = gregarious

	trait = blood_of_numenor_2

	diplomacy = 7
	martial = 6
	stewardship = 8
	intrigue = 6
	learning = 7
	prowess = 8

	trait = education_stewardship_2
	6686.2.24 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

	6801.1.15 = {
		death = { death_reason = death_natural_causes }
	}
}

lineofedalote64 = {
    name = Emeldir 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_2
    6705.9.13 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6819.10.14 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote65 = {
    name = Sulendil 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote63
    mother = lineofedalote64

    


	trait = blood_of_numenor_2
    6761.5.14 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6802.1.16 = {
        add_spouse = lineofedalote66
    }

    6874.4.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote66 = {
    name = Hurowen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_2
    6785.4.24 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6902.9.17 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote67 = {
    name = Argeleb 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote65
    mother = lineofedalote66

    


	trait = blood_of_numenor_2
    6816.2.26 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6848.3.19 = {
        add_spouse = lineofedalote68
    }

    6926.8.6 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote68 = {
    name = Anaire 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_2
    6831.1.21 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6943.10.14 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote69 = {
    name = Gelmir 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote67
    mother = lineofedalote68

    


	trait = blood_of_numenor_2
    6863.5.14 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6903.12.7 = {
        add_spouse = lineofedalote70
    }

    6963.2.12 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote70 = {
    name = Gilraen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    6886.1.4 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7006.10.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote71 = {
    name = Gilraen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote69
    mother = lineofedalote70

    


	trait = blood_of_numenor_1
    6922.11.24 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7033.10.13 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote72 = {
    name = Hundar 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote69
    mother = lineofedalote70

    


	trait = blood_of_numenor_1
    6933.9.4 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    6971.6.9 = {
        add_spouse = lineofedalote73
    }

    7044.5.7 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote73 = {
    name = Vardurme 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    6954.1.12 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7074.4.25 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote74 = {
    name = Baranor 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote72
    mother = lineofedalote73

    


	trait = blood_of_numenor_1
    6985.12.9 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7031.2.20 = {
        add_spouse = lineofedalote75
    }

    7103.4.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote75 = {
    name = Melde 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7014.1.21 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7116.4.7 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote76 = {
    name = Thurin 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote74
    mother = lineofedalote75

    


	trait = blood_of_numenor_1
    7061.9.6 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7090.5.12 = {
        add_spouse = lineofedalote77
    }

    7171.12.18 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote77 = {
    name = Hurowen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7073.10.18 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7181.12.24 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote78 = {
    name = Elatan 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote76
    mother = lineofedalote77

    


	trait = blood_of_numenor_1
    7100.4.25 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7131.5.13 = {
        add_spouse = lineofedalote79
    }

    7210.3.8 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote79 = {
    name = Elanna 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7114.8.23 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7224.12.13 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote80 = {
    name = Teleprianna 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote78
    mother = lineofedalote79

    


	trait = blood_of_numenor_1
    7159.7.16 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7264.9.21 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote81 = {
    name = Arminas 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote78
    mother = lineofedalote79

    


	trait = blood_of_numenor_1
    7169.3.21 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7197.5.2 = {
        add_spouse = lineofedalote82
    }

    7271.8.8 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote82 = {
    name = Almarien 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7180.4.16 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7293.2.3 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote83 = {
    name = Faniel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote74
    mother = lineofedalote75

    


	trait = blood_of_numenor_1
    7076.9.12 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7192.5.23 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote84 = {
    name = Borothor 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote72
    mother = lineofedalote73

    


	trait = blood_of_numenor_1
    7000.5.9 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7030.5.27 = {
        add_spouse = lineofedalote85
    }

    7111.10.26 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote85 = {
    name = Nariel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7013.5.6 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7127.5.19 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote86 = {
    name = Itarilde 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote84
    mother = lineofedalote85

    


	trait = blood_of_numenor_1
    7040.7.8 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7147.2.24 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote87 = {
    name = Lintoron 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote84
    mother = lineofedalote85

    


	trait = blood_of_numenor_1
    7067.8.23 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7093.4.20 = {
        add_spouse = lineofedalote88
    }

    7153.3.14 = {
        death = { death_reason = death_duel }
    }
}

lineofedalote88 = {
    name = Avarwen 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7076.6.5 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7180.2.19 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote89 = {
    name = Alcarnir 

    dynasty = dynasty_an_ethring
    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote87
    mother = lineofedalote88

    


	trait = blood_of_numenor_1
    7109.3.4 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7156.11.2 = {
        add_spouse = lineofedalote90
    }

    7209.10.5 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote90 = {
    name = Vardurme 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    


	trait = blood_of_numenor_1
    7139.8.26 = {
        birth = yes
		effect = {
			learn_language = language_sindarin
		}
    }

    7244.10.8 = {
        death = { death_reason = death_natural_causes }
    }
}

lineofedalote91 = {
    name = Umbasiel 
    female = yes

    religion = faith_edain
    culture = belfalathrim

    father = lineofedalote89
    mother = lineofedalote90

    


